work,workLabel,authorLabel,genreLabel,countryLabel,durationLabel,publicationDate,performerLabel,partOfLabel
http://www.wikidata.org/entity/Q19212503,Ihr grünenden Berge,Роберт Бёрнс,,Королевство Великобритания,,1860-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q18692874,California Blue,Рой Орбисон,шлягер,США,,1989-01-01T00:00:00Z,Рой Орбисон,
http://www.wikidata.org/entity/Q20196025,Cry of freedom,Piet Veerman,Palingsound,Королевство Нидерландов,,1989-01-01T00:00:00Z,Piet Veerman,
http://www.wikidata.org/entity/Q20196025,Cry of freedom,Брюс Смит,Palingsound,Шотландия,,1989-01-01T00:00:00Z,Piet Veerman,
http://www.wikidata.org/entity/Q19217297,"Lebwohl, du Strom",Роберт Бёрнс,,Королевство Великобритания,,1860-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q20082567,Поручик Голицын,"Гончаренко, Георгий Иванович",городской романс,Российская империя,,1981-01-01T00:00:00Z,Жанна Бичевская,
http://www.wikidata.org/entity/Q20196095,Follow Me,Герберт Крецмер,Palingsound,ЮАР,,1989-01-01T00:00:00Z,Piet Veerman,
http://www.wikidata.org/entity/Q20196095,Follow Me,Hal Shaper,поп-музыка,ЮАР,,1982-01-01T00:00:00Z,Кимико Ито,
http://www.wikidata.org/entity/Q20196095,Follow Me,Герберт Крецмер,поп-музыка,Великобритания,,1982-01-01T00:00:00Z,Кимико Ито,
http://www.wikidata.org/entity/Q20196095,Follow Me,Герберт Крецмер,поп-музыка,ЮАР,,1989-01-01T00:00:00Z,Демис Руссос,
http://www.wikidata.org/entity/Q19228237,"Sie sagt, sie liebt am meisten mich",Роберт Бёрнс,,Королевство Великобритания,,1860-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q20082567,Поручик Голицын,"Гончаренко, Георгий Иванович",городской романс,Российская империя,,1981-01-01T00:00:00Z,"Агафонов, Валерий Борисович",
http://www.wikidata.org/entity/Q20082567,Поручик Голицын,"Гончаренко, Георгий Иванович",городской романс,Российская империя,,1981-01-01T00:00:00Z,"Гулько, Михаил Александрович",
http://www.wikidata.org/entity/Q20082567,Поручик Голицын,"Гончаренко, Георгий Иванович",городской романс,Российская империя,,1981-01-01T00:00:00Z,"Звездинский, Михаил Михайлович",
http://www.wikidata.org/entity/Q20082567,Поручик Голицын,"Гончаренко, Георгий Иванович",городской романс,Российская империя,,1950-01-01T00:00:00Z,Жанна Бичевская,
http://www.wikidata.org/entity/Q20082567,Поручик Голицын,"Гончаренко, Георгий Иванович",городской романс,Российская империя,,1981-01-01T00:00:00Z,Олеся Троянская,
http://www.wikidata.org/entity/Q20082567,Поручик Голицын,"Гончаренко, Георгий Иванович",городской романс,Российская империя,,1981-01-01T00:00:00Z,Аркадий Северный,
http://www.wikidata.org/entity/Q20082567,Поручик Голицын,"Гончаренко, Георгий Иванович",городской романс,Российская империя,,1981-01-01T00:00:00Z,Вилли Токарев,
http://www.wikidata.org/entity/Q19223701,"Phillis, mein Kind",Роберт Бёрнс,,Королевство Великобритания,,1860-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q20196095,Follow Me,Hal Shaper,Palingsound,ЮАР,,1982-01-01T00:00:00Z,Кимико Ито,
http://www.wikidata.org/entity/Q18692874,California Blue,Джефф Линн,шлягер,Великобритания,,1989-01-01T00:00:00Z,Рой Орбисон,
http://www.wikidata.org/entity/Q20196095,Follow Me,Герберт Крецмер,Palingsound,Великобритания,,1982-01-01T00:00:00Z,Кимико Ито,
http://www.wikidata.org/entity/Q20196095,Follow Me,Герберт Крецмер,Palingsound,ЮАР,,1989-01-01T00:00:00Z,Демис Руссос,
http://www.wikidata.org/entity/Q20082567,Поручик Голицын,"Гончаренко, Георгий Иванович",городской романс,Российская империя,,1981-01-01T00:00:00Z,Александр Николаевич Малинин,
http://www.wikidata.org/entity/Q20082567,Поручик Голицын,"Гончаренко, Георгий Иванович",городской романс,Российская империя,,1950-01-01T00:00:00Z,"Агафонов, Валерий Борисович",
http://www.wikidata.org/entity/Q20082567,Поручик Голицын,"Гончаренко, Георгий Иванович",городской романс,Российская империя,,1950-01-01T00:00:00Z,"Гулько, Михаил Александрович",
http://www.wikidata.org/entity/Q20082567,Поручик Голицын,"Гончаренко, Георгий Иванович",городской романс,Российская империя,,1950-01-01T00:00:00Z,"Звездинский, Михаил Михайлович",
